parameter,value,unit,normal_range,notes
body_mass,70,kg,50-90,reference adult male
body_height,1.75,m,1.60-1.90,reference
body_surface_area,1.85,m2,1.6-2.1,Mosteller formula
BMI,22.9,kg/m2,18.5-25.0,normal weight
body_temperature_core,37.0,C,36.5-37.5,hypothalamic setpoint
heart_rate_resting,70,bpm,60-100,sinus rhythm
respiratory_rate,16,breaths_per_min,12-20,at rest
blood_pressure_systolic,120,mmHg,90-140,brachial artery
blood_pressure_diastolic,80,mmHg,60-90,brachial artery
MAP,95,mmHg,70-105,mean arterial pressure
cardiac_output,5.0,L_per_min,4-8,at rest
stroke_volume,70,mL_per_beat,55-100,
blood_volume,5.0,L,4.5-5.5,~7% body mass
hematocrit_male,45,percent,40-50,
hematocrit_female,40,percent,36-44,
hemoglobin_male,15,g_per_dL,13.5-17.5,
hemoglobin_female,13,g_per_dL,12-15.5,
plasma_osmolarity,290,mOsm_per_kg,285-295,
serum_sodium,140,mM,135-145,
serum_potassium,4.0,mM,3.5-5.0,
serum_calcium,2.5,mM,2.2-2.6,corrected for albumin
serum_albumin,42,g_per_L,35-50,
serum_creatinine,80,umol_per_L,60-110,male
GFR,125,mL_per_min,90-140,CKD-EPI estimation
blood_glucose_fasting,5.0,mM,3.9-5.6,
pH_arterial,7.40,log[H+],7.35-7.45,
PaCO2,40,mmHg,35-45,arterial
PaO2,95,mmHg,80-100,arterial (room air)
HCO3,24,mM,22-28,arterial
BMR,1800,kcal_per_day,1600-2000,basal metabolic rate
VO2_max,40,mL_per_kg_per_min,35-50,young adult male
lung_compliance,200,mL_per_cmH2O,150-250,
lung_vital_capacity,4.8,L,3.5-5.5,
lung_total_capacity,6.0,L,5-7,
daily_water_turnover,2.5,L_per_day,2-3,
daily_urine_output,1.5,L_per_day,0.8-2.0,
CSF_volume,150,mL,125-175,
intracranial_pressure,10,mmHg,7-15,supine
bone_mineral_density,1.0,g_per_cm2,0.8-1.2,DEXA T-score reference